1
BIME 300,BIME 435,INFO 468,INFO 478
2
INFO 370,INFO 371,INFO 430,INFO 474
3
INFO 362,INFO 365,INFO 447,INFO 442,INFO 463,INFO 464,INFO 465,INFO 466,INFO 474 (16-20 credits from these courses)
4
INFO 331,INFO 431,INFO 433,INFO 441,INFO 430 (16-20 credits from these courses)
5
INFO 310,INFO 312,INFO 314,INFO 415
